いい;good
本「ほん」;book
私「わたし」;I (polite, general)
どれ;which, what
毎「まい」日「にち」;every day
はい;yes
いいえ;no
ちゃん;chan
日本「にほん」;Japan
どこ;where
帰「かえ」る;to return, to go back
知「し」る;to know
行「い」く;to go
来「く」る;to come
この;this one
どの;which one
置「お」く;to put, to place
話「はなし」;to talk, story
彼「かの」女「じょ」;she, her, girlfriend
明日「あした」;tomorrow
また;again, also
そう;in such manner, that way
さん;san
彼「かれ」;he, him
好「す」き;to like, be fond of
人「じん」;person from (nationality)
勉「べん」強「きょう」;to study
兄「あに」;older brother
今「いま」;now
その;that one
なる;to become, to result in, to come (to do)
名「な」前「まえ」;name
ここ;here
あそこ;over there
家「いえ」;house, home
学「がっ」校「こう」;school
いつ;when
思「おも」う;to think
こう;like this, this kind of
あなた;you (usually when one doesn't know the person)
人「ひと」;person
日本「にほん」語「ご」;Japanese language
これ;this
何「なに」;what
それ;that
あれ;that over there
ある;have, exist (inanimate)
あまり;(not) very, (not) much
時「じ」間「かん」;time, hour
無「な」い;to not be
あの;that one there
見「み」る;to see, to look at
全「ぜん」然「ぜん」;(not) at all
面「おも」白「しろ」い;interesting, amusing
する;to do, to make
先「せん」生「せい」;teacher
ください;please give..., please do...
教「おし」える;to teach, to tell
そこ;there
いる;to have, to exist (animate)
昨日「きのう」;yesterday
言「い」う;to say
ゆっくり;slowly
分「わ」かる;to understand
方「かた」;person (polite form)
友「とも」達「だち」;friend, companion
もっと;more, a bit more
ありがとうございます;thank you (formal)
待「ま」つ;to wait
よく;well
お 願「ねが」いします;please
方「ほう」;direction, side
よく;often
話「はな」す;to talk, to speak
会「あ」う;to meet
考「かんが」える;to think, to consider
聞「き」く;to ask
聞「き」く;to hear
どう;how, what
次「つぎ」;next, subsequent
町「まち」;town, city
高「たか」い;expensive
高「たか」い;high, tall
一「いち」番「ばん」;(the) most
ちょっと;a little
もう;already, yet
もう;another, again
父「ちち」;(speaker's) father
大「だい」好「す」き;to love
母「はは」;(speaker's) mother
あげる;to give (receiver is not in the speaker's group)
くれる;to give (receiver is in the speaker's group)
もらう;to receive
物「もの」;thing, object
君「きみ」;you (to someone of equal or lower status)
中「なか」;inside, middle
出「で」来「き」る;can do, be good at
本「ほん」当「とう」;truth, reality
立「た」つ;to stand, to rise
前「まえ」;front, before
入「はい」る;to enter
家「か」族「ぞく」;family
住「す」む;to live, to reside
大「おお」きな;big, large
大「おお」きい;big, large
声「こえ」;voice, sound
目「め」;eye
手「て」;hand
上「あ」げる;to raise, to increase
嫌「きら」い;to dislike
おじいさん;grandfather
おばあさん;grandmother
元「げん」気「き」;energetic, healthy
いつも;always, usually
持「も」つ;to have, to hold
みんな;all, everybody
使「つか」う;to use
大「だい」丈「じょう」夫「ぶ」;alright, ok
始「はじ」める;to start
今日「きょう」;today
